,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
268,0,2,2,4,2,1,1,2,1,3,2,1,1,2
269,0,3,2,4,2,1,1,3,1,3,2,2,2,2
270,1,4,3,4,2,2,1,3,1,3,2,2,3,2
271,0,4,3,4,2,2,1,3,1,4,3,4,3,2
272,0,4,3,4,3,3,3,3,1,4,3,4,4,2
273,1,4,3,4,4,4,3,4,2,4,4,4,4,2
274,1,0,0,0,0,0,0,0,0,0,0,0,0,0
275,1,1,0,0,0,1,1,1,1,2,0,0,0,0
276,0,1,1,0,0,1,1,1,2,2,0,0,1,2
277,0,1,1,1,0,1,2,2,3,2,1,0,1,2
278,1,2,1,1,0,1,2,2,3,2,2,1,2,2
279,0,2,1,1,1,1,2,3,3,4,2,2,2,2
280,1,2,1,2,1,2,2,3,4,4,2,3,2,3
281,1,3,2,2,2,2,2,3,4,4,3,3,2,3
282,0,3,3,2,4,2,4,3,4,4,4,3,3,3
283,0,4,4,4,4,2,4,3,4,4,4,4,3,3
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,1,1,2,2,1,0,1,2,1,0,0,1
287,0,2,1,1,2,3,1,0,1,2,1,1,1,1
288,0,2,3,2,3,4,2,0,1,2,2,1,1,1
289,1,2,3,2,4,4,2,0,2,2,3,2,2,1
290,0,2,3,2,4,4,4,1,2,2,3,3,2,2
291,0,3,3,4,4,4,4,1,4,2,3,3,2,3
292,0,3,3,4,4,4,4,2,4,3,3,3,4,3
293,1,4,4,4,4,4,4,3,4,3,3,4,4,3
294,0,0,1,0,0,0,0,1,0,1,1,0,0,1
295,0,0,1,0,0,2,0,2,1,1,2,0,0,1
296,0,0,1,0,0,2,1,2,2,1,3,0,2,1
297,1,0,1,0,1,2,2,2,2,4,3,0,2,1
298,1,2,1,0,2,3,2,3,2,4,3,0,2,1
299,0,2,3,1,3,3,3,3,3,4,3,1,2,1
300,1,3,3,2,3,3,3,4,4,4,4,1,2,1
301,1,4,3,2,3,4,4,4,4,4,4,2,4,1
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,1,1,0,0,1,1,2,1,1,1,0
305,0,0,0,1,2,1,1,1,1,3,1,1,2,0
306,1,0,0,2,3,1,3,1,2,3,1,2,2,0
307,0,2,1,2,3,1,3,1,2,3,1,2,3,0
309,0,3,2,2,4,1,3,2,2,4,2,3,3,2
310,0,3,2,3,4,2,3,3,2,4,3,3,3,3
311,1,4,3,3,4,3,4,3,3,4,3,3,3,4
312,1,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,1,0,0,1,0,0,1,0,1,1,4,0
315,1,0,3,1,0,1,1,2,1,1,1,1,4,0
316,0,1,3,1,0,2,1,3,2,1,1,1,4,1
317,1,1,4,1,1,2,1,3,3,1,2,2,4,1
318,1,1,4,1,1,2,1,4,4,1,2,3,4,2
319,0,2,4,1,1,2,2,4,4,2,3,3,4,2
320,1,3,4,3,2,3,2,4,4,3,3,3,4,2
321,1,4,4,3,2,3,3,4,4,3,4,3,4,3
322,1,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,1,0,0,1,0,0,0,0,1,1,1
324,1,0,0,1,0,1,1,0,0,1,0,3,2,1
325,1,1,0,1,1,1,1,0,1,1,1,3,2,1
326,0,2,0,1,1,1,1,2,1,1,1,3,2,2
327,0,2,1,1,1,2,1,2,1,2,2,3,3,2
328,1,3,2,2,2,2,1,2,1,2,2,3,3,3
330,0,3,2,3,2,3,2,4,3,2,2,4,4,4
331,1,4,2,4,3,3,3,4,4,2,3,4,4,4
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,1,0,0,1,1,0,0,0,0,0,0,1,0
334,0,1,1,0,1,2,0,1,0,1,0,0,1,2
335,0,1,1,2,2,2,0,1,0,1,0,0,1,4
336,0,3,1,2,2,2,0,1,1,1,0,1,1,4
337,1,3,1,2,3,2,0,1,3,2,0,2,1,4
338,0,3,1,2,3,3,0,2,3,3,1,2,2,4
339,0,4,1,3,3,3,1,3,3,3,1,2,3,4
340,1,4,2,4,3,3,2,3,4,3,2,3,3,4
341,0,4,2,4,4,4,2,3,4,4,3,3,4,4
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,1,0,0,0,0,0,2,0,0,0,0,1,2,0
344,1,0,0,1,1,1,2,0,1,0,2,1,2,0
345,0,1,0,2,1,2,2,0,1,2,2,1,2,0
346,0,1,0,2,1,2,2,0,2,2,3,1,3,1
347,0,1,0,2,1,3,3,0,2,3,3,1,3,2
348,1,1,1,2,2,3,3,2,2,3,3,2,3,3
349,1,3,3,3,2,3,3,3,3,3,3,2,4,3
350,0,4,4,4,3,4,4,3,3,3,3,4,4,3
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,1,0,0,0,0,0,0,0,1,1,1,1,0,0
353,1,0,0,0,0,0,0,2,1,3,1,2,0,0
354,1,0,1,1,1,0,0,2,2,3,1,2,1,1
355,1,1,2,1,1,0,1,2,2,4,2,2,1,1
356,1,2,3,1,1,0,1,2,2,4,3,2,2,1
358,0,2,3,2,3,1,2,4,3,4,4,3,2,2
359,0,3,4,2,3,2,3,4,3,4,4,3,3,3
360,1,4,4,2,3,3,4,4,3,4,4,4,3,3
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,0,2,0,0,1,0,1,0,0,1,0,0,1,0
363,0,3,1,0,1,0,1,2,1,1,0,0,1,0
