,stand,hit,double down,split,surrender
upcard: 7 hand: A 9,78.68082764,28.4,11.40939597,0,-50
upcard: 2 hand: 4 4,-27.45490982,-0.21893815,-12.00289226,-16.07495069,-50
upcard: 6 hand: A 3,-10.14851485,13.51909185,27.43489308,0,-50
upcard: 10 hand: 8,-52.66821346,-25.25838813,-71.65109034,0,-50
upcard: A hand: A 4,-45.98662207,-17.8333604,-47.89915966,0,-50
upcard: 9 hand: A 5,-32.78106509,-15.81621851,-52.69978402,0,-50
upcard: 7 hand: A 3,-44.30894309,6.479747445,-2.96803653,0,-50
upcard: 2 hand: A 4,-22.09821429,-1.947089947,-0.764096259,0,-50
upcard: 7 hand: 3 3,-45.73002755,-16.04675877,-127.6595745,-11.62995595,-50
upcard: A hand: Q Q,61.49057275,-81.25,-200,1.342281879,-50
upcard: 4 hand: A 2,-28.18181818,9.982192323,10.30562125,0,-50
upcard: 6 hand: 8 8,-11.36363636,-33.62068966,-118.75,39.495325,-50
upcard: 6 hand: 18,25.21804922,-72.36842105,-97.95918367,0,-50
upcard: 8 hand: A 6,-30.95487933,-6.751510786,-20.57214977,0,-50
upcard: 6 hand: A 2,-5.979381443,10.875513,27.51646528,0,-50
upcard: 8 hand: A 2,-37.5,4.359015602,-20.45088567,0,-50
upcard: 4 hand: A 4,-15.01416431,8.351756325,9.394592476,0,-50
upcard: 10 hand: 7 7,-53.8932999,-49.23544705,-103.7735849,-98.05447471,-50
upcard: 6 hand: 8,-11.4321608,14.45749635,11.3180024,0,-50
upcard: 10 hand: 9 9,-16.00140919,-59.44272446,-140.4255319,-34.70891673,-50
upcard: 10 hand: 10 10,57.08008505,-90.90909091,-171.4285714,6.12244898,-50
upcard: 2 hand: 18,11.49433523,-69.09090909,-98.36065574,0,-50
upcard: 10 hand: A 7,-16.74392667,-14.44749212,-30.34802784,0,-50
upcard: A hand: 19,21.99011253,-83.33333333,-127.2727273,0,-50
upcard: 3 hand: 3 3,-26.09351433,-14.3438914,-58.43621399,-71.42857143,-50
upcard: 7 hand: 2 2,-36.99731903,-9.116242038,-130,-2.331189711,-50
upcard: 6 hand: 6,-15.75562701,2.810341218,-34.44976077,0,-50
upcard: 10 hand: 6 6,-54.19766206,-39.34958177,-75.50561798,-91.02040816,-50
upcard: 2 hand: A 5,-16.3659253,-4.568922445,-13.77791758,0,-50
upcard: 6 hand: 9 9,22.97117517,-54.21686747,-117.6470588,45.59539619,-50
upcard: 9 hand: 8 8,-50.20725389,-51.63787969,-101.2987013,-42.5441148,-50
upcard: A hand: A 8,21.47993747,-15.55555556,-17.15039578,0,-50
upcard: 4 hand: 9 9,16.76495366,-68.25396825,-157.8947368,32.43174279,-50
upcard: 6 hand: A 7,22.55369928,18.09927361,44.34831939,0,-50
upcard: 5 hand: 2 2,-10.35940803,-4.947526237,-24.54545455,24.85115195,-50
upcard: 3 hand: 17,-11.10716492,-57.96178344,-139.1304348,0,-50
upcard: 7 hand: 16,-49.37244821,-40.78125467,-71.86147186,0,-50
upcard: 10 hand: 4 4,-54.76575121,-24.8249324,-67.26190476,-76.15062762,-50
upcard: 7 hand: Q Q,76.08456892,-91.66666667,-200,52.89017341,-50
upcard: 2 hand: 7,-29.9928418,-11.3276043,-46.39175258,0,-50
upcard: 8 hand: 13,-50.53413841,-33.85595183,-67.56302521,0,-50
upcard: 8 hand: 8,-46.5648855,-6.812543416,-42.26804124,0,-50
upcard: 4 hand: A 9,68.52033213,2.684563758,49.96150885,0,-50
upcard: 9 hand: A 3,-46.69509595,-7.956777996,-26.67834209,0,-50
upcard: 5 hand: A 4,-12.25225225,10.30695579,18.45674381,0,-50
upcard: 10 hand: 5,-55.31019979,-30.36171905,-106.557377,0,-50
upcard: A hand: A 2,-50.53763441,-11.00950988,-56.03448276,0,-50
upcard: 9 hand: 8,-55.64053537,-21.81385314,-68.70748299,0,-50
upcard: 2 hand: 8,-25.25439408,-2.99836352,-18.48049281,0,-50
upcard: 3 hand: A 9,65.82111748,22.76923077,46.82850431,0,-50
upcard: 3 hand: 6,-28.40495266,-11.18053636,-57.1942446,0,-50
upcard: 7 hand: 7,-46.37681159,-7.603818024,-80.3030303,0,-50
upcard: 8 hand: 6,-51.7611026,-24.02506964,-118.6666667,0,-50
upcard: 7 hand: A 6,-6.633119854,5.069363412,4.118552733,0,-50
upcard: 2 hand: A 8,40.69562553,16.09467456,28.7890625,0,-50
upcard: 3 hand: A A,-19.59459459,-7.368421053,38.17762399,72.70576516,-50
upcard: 3 hand: 9 9,14.0241365,-56.70103093,-100,22.07854406,-50
upcard: 2 hand: A 9,65.95799941,24.71910112,35.00866551,0,-50
upcard: 7 hand: A 4,-35.77023499,2.813313396,-3.642241379,0,-50
upcard: 2 hand: 9,-25.56390977,7.179218968,7.887202537,0,-50
upcard: 8 hand: 9,-52.22222222,9.535022552,-1.251664447,0,-50
upcard: 2 hand: A 7,13.42155009,1.756954612,13.67593969,0,-50
upcard: 9 hand: 5 5,-56.43564356,12.63829787,18.87054735,-92.30769231,-50
upcard: 10 hand: J J,56.94983419,-88.23529412,-200,-61.53846154,-50
upcard: 3 hand: A 10,107.9375623,36.20689655,-29.72972973,0,-50
