,stand,hit,double down,split,surrender
upcard: 6 hand: 19 cv bin: 2,56.89058802111792,-71.7391304347826,-138.0952380952381,0.0,0
upcard: 2 hand: 8 cv bin: 2,-24.719101123595507,2.06815259322761,-16.70682730923696,0.0,0
upcard: 10 hand: A 10 cv bin: 2,100.28227119748135,-1.408450704225352,-60.526315789473685,0.0,0
upcard: 10 hand: 20 cv bin: 0,58.024827518596396,-76.74418604651163,-178.57142857142858,-208.33333333333334,0
upcard: 4 hand: 19 cv bin: 0,38.92618422769639,-76.7857142857143,-152.38095238095238,0.0,0
upcard: 6 hand: 20 cv bin: 0,67.04318155076977,-93.33333333333333,-200.0,-193.33333333333334,0
upcard: 10 hand: 18 cv bin: 0,-14.032135946832566,-66.06498194945848,-110.84337349397593,0.0,0
upcard: 10 hand: 14 cv bin: 0,-52.9813381884388,-40.975373601440694,-80.46218487394958,0.0,0
upcard: 8 hand: 14 cv bin: 0,-49.69293756397136,-32.23894812032061,-73.36561743341404,0.0,0
upcard: 7 hand: 15 cv bin: 0,-47.37479806138932,-32.0100889125063,-66.0535117056856,0.0,0
upcard: 8 hand: 5 cv bin: 0,-49.108910891089096,-17.095310136157337,-84.13793103448279,0.0,0
upcard: 4 hand: 2 2 cv bin: 0,-25.919999999999973,-10.285714285714278,-46.484375,-3.9859320046893307,0
upcard: 4 hand: 9 cv bin: 1,-23.569023569023578,16.037926165019147,25.897407179257353,0.0,0
upcard: 4 hand: A 9 cv bin: 1,68.43480533054668,23.263888888888886,43.78172588832487,0.0,0
upcard: 4 hand: 6 cv bin: 1,-18.259874069833973,-6.213570878697903,-33.223684210526315,0.0,0
upcard: A hand: 11 cv bin: 1,-60.3448275862069,14.839313155609004,18.238993710691744,0.0,0
upcard: A hand: 12 cv bin: 1,-70.78464106844744,-37.74363584358302,-92.2480620155039,0.0,0
upcard: 8 hand: A 3 cv bin: 1,-35.81932773109245,0.24716150459566327,-32.12121212121213,0.0,0
upcard: 10 hand: 13 cv bin: 1,-54.8875978782521,-42.114672309096484,-88.85630498533722,0.0,0
upcard: 2 hand: 20 cv bin: 0,63.13679620250296,-96.66666666666667,-200.0,-53.96825396825397,0
upcard: 9 hand: 9 cv bin: 0,-55.63636363636363,-6.021739130434757,-36.973478939157545,0.0,0
upcard: 9 hand: 19 cv bin: 0,28.579119400115353,-69.23076923076924,-172.72727272727272,0.0,0
upcard: 6 hand: 13 cv bin: 0,-18.071383715782584,-21.54853112791112,-38.5665529010238,0.0,0
upcard: 3 hand: 17 cv bin: 1,-11.856862676014943,-49.89339019189767,-93.69369369369367,0.0,0
